City,State,Population,lat,lon
Perris,California,72326,33.7825194,-117.22864779999999
Buena Park,California,82882,33.867514299999996,-117.99811809999999
Westminster,California,91739,33.7513419,-117.99399209999999
Rancho Palos Verdes,California,42448,33.7444613,-118.3870173
Sacramento,California,479686,38.5815719,-121.49439960000001
Covina,California,48508,34.0900091,-117.89033970000001
Visalia,California,127763,36.330228399999996,-119.2920585
Antioch,California,107100,38.0049214,-121.80578899999999
Murrieta,California,107479,33.553914299999995,-117.21392320000001
Chino,California,80988,34.0122346,-117.68894399999999
Fountain Valley,California,56707,33.7091847,-117.95366969999999
Tulare,California,61170,36.20772879999999,-119.3473379
Chula Vista,California,256780,32.6400541,-117.0841955
Concord,California,125880,37.9779776,-122.0310733
Campbell,California,40584,37.2871651,-121.9499568
Moreno Valley,California,201175,33.9424658,-117.2296717
Dublin,California,52105,37.7021521,-121.9357918
El Centro,California,43363,32.792,-115.56305139999999
Pittsburg,California,66695,38.027976200000005,-121.88468059999998
Brea,California,40963,33.9166805,-117.9000604
Indio,California,83539,33.7205771,-116.2155619
Glendora,California,51074,34.136118700000004,-117.86533899999999
Calexico,California,39389,32.6789476,-115.4988834
Clovis,California,99769,36.8252277,-119.70291940000001
Orange,California,139969,33.787794399999996,-117.8531119
Walnut Creek,California,66900,37.9100783,-122.06518190000001
Porterville,California,55174,36.06523,-119.0167679
Merced,California,81102,37.3021632,-120.48296770000002
Yorba Linda,California,67032,33.888625899999994,-117.8131125
San Buenaventura (Ventura),California,108817,34.274646000000004,-119.22903159999998
Fremont,California,224922,37.548269700000006,-121.98857190000001
Pomona,California,151348,34.055103,-117.7499909
Eastvale,California,55191,33.952463,-117.5848025
Tustin,California,78327,33.7458511,-117.82616599999999
Escondido,California,148738,33.1192068,-117.086421
San Bruno,California,42443,37.6304904,-122.41108349999999
Berkeley,California,116768,37.87159260000001,-122.272747
San Clemente,California,65040,33.4269728,-117.6119925
La Habra,California,61653,33.9319578,-117.94617340000002
Daly City,California,104739,37.687924100000004,-122.47020790000002
El Monte,California,115708,34.0686206,-118.02756670000001
Danville,California,43341,37.8215929,-121.9999606
Santa Barbara,California,90412,34.4208305,-119.69819009999999
San Mateo,California,101128,37.562991700000005,-122.32552539999999
Lompoc,California,43509,34.6391501,-120.4579409
Salinas,California,155662,36.6777372,-121.6555013
Ceres,California,46714,37.5949316,-120.9577098
Bell Gardens,California,42889,33.965291799999996,-118.1514588
San Leandro,California,87965,37.7249296,-122.1560768
Vista,California,96929,33.2000368,-117.2425355
Lodi,California,63338,38.1341477,-121.27221940000001
National City,California,59834,32.6781085,-117.0991967
Hayward,California,151574,37.6688205,-122.08079640000001
Hanford,California,54686,36.3274502,-119.64568440000001
Cypress,California,49087,33.8169599,-118.0372852
Redlands,California,69999,34.055569299999995,-117.1825381
Rialto,California,101910,34.1064001,-117.37032350000001
Rancho Santa Margarita,California,49228,33.640855,-117.603104
Palm Springs,California,46281,33.8302961,-116.54529209999998
San Diego,California,1355896,32.715738,-117.1610838
Santa Rosa,California,171990,38.440428999999995,-122.7140548
Cathedral City,California,52977,33.780538799999995,-116.46680359999999
Sunnyvale,California,147559,37.368829999999996,-122.03634960000001
Santa Cruz,California,62864,36.9741171,-122.0307963
Tracy,California,84691,37.7396513,-121.42522269999999
Palm Desert,California,50508,33.7222445,-116.37445559999999
Camarillo,California,66086,34.216393700000005,-119.0376023
Oakland,California,406253,37.8043637,-122.27111370000002
Mountain View,California,77846,37.3860517,-122.08385109999999
Lake Elsinore,California,57525,33.668077200000006,-117.3272615
Monterey Park,California,61085,34.0625106,-118.1228476
Madera,California,63105,36.961335600000005,-120.0607176
Vallejo,California,118837,38.1040864,-122.25663670000002
Arcadia,California,57639,34.139729200000005,-118.0353449
Alhambra,California,84577,34.095287,-118.1270146
Citrus Heights,California,85285,38.7071247,-121.2810611
Hawthorne,California,86199,33.9164032,-118.35257479999999
Stockton,California,298118,37.9577016,-121.29077959999998
Laguna Niguel,California,64652,33.5225261,-117.70755259999999
Costa Mesa,California,112174,33.6411316,-117.9186689
Encinitas,California,61588,33.0369867,-117.2919818
Huntington Park,California,58879,33.981681200000004,-118.22507250000001
Richmond,California,107571,37.9357576,-122.3477486
Newark,California,44096,37.5296593,-122.0402399
Diamond Bar,California,56449,34.028622600000006,-117.81033670000001
Baldwin Park,California,76635,34.0852868,-117.96089779999998
San Luis Obispo,California,46377,35.2827524,-120.6596156
Newport Beach,California,87273,33.6189101,-117.9289469
Long Beach,California,469428,33.770050399999995,-118.1937395
Chico,California,88077,39.728494399999995,-121.8374777
Colton,California,53243,34.0739016,-117.3136547
Montebello,California,63495,34.0165053,-118.11375349999999
Pleasanton,California,74110,37.6624312,-121.8746789
Fairfield,California,109320,38.2493581,-122.03996629999999
Milpitas,California,69783,37.4323341,-121.8995741
Placentia,California,52206,33.87223710000001,-117.87033629999999
Montclair,California,38027,34.0775104,-117.68977759999999
San Francisco,California,837442,37.7749295,-122.4194155
Fontana,California,203003,34.0922335,-117.435048
Chino Hills,California,76572,33.989818799999995,-117.7325848
Poway,California,49417,32.9628232,-117.0358646
San Jacinto,California,45851,33.783908399999994,-116.95863500000002
San Bernardino,California,213708,34.1083449,-117.2897652
Victorville,California,121096,34.5362184,-117.29276409999999
Morgan Hill,California,40836,37.130501200000005,-121.65439009999999
Culver City,California,39428,34.021122399999996,-118.3964665
Elk Grove,California,161007,38.4087993,-121.37161780000001
Inglewood,California,111542,33.9616801,-118.3531311
Pasadena,California,139731,34.1477849,-118.1445155
Petaluma,California,59440,38.232417,-122.6366524
Napa,California,79068,38.2975381,-122.28686499999999
Apple Valley,California,70924,34.5008311,-117.18587590000001
Upland,California,75413,34.09751,-117.64838759999999
Modesto,California,204933,37.6390972,-120.99687820000001
Jurupa Valley,California,98030,33.9971974,-117.48548020000001
Bellflower,California,77593,33.881681799999996,-118.1170117
Coachella,California,43092,33.6803003,-116.17389399999999
